     1,   3665,      2,  21890,  70102
     2,  70078,  70063,  70060,  70071
     3,  70077,  70072,  70071,  70078
     4,  21944,   3683,  70064,  21948
     5,  70065,  21931,  70071,  70060
     6,  70114,  70060,  70079,  70070
     7,  70073,  70089,  70076,  70075
     8,  21875,  21861,  21862,  70076
     9,  70089,  70080,  70075,  70070
    10,   3672,  70058,  21902,  21904
    11,  70121,   3650,  21872,   3649
    12,  21889,  70135,   3648,  70106
    13,  21959,   3687,  70071,  21960
    14,  70089,  70090,  70080,  21975
    15,  21987,  70089,  70090,  70076
    16,  70131,   3666,  21924,  70118
    17,  70048,  70051,  70075,  70074
    18,  70141,  21890,  70102,  21892
    19,  70069,  70055,  70100,  70086
    20,  21932,  21921,  70085,  21922
    21,  70080,  70091,  70054,  70075
    22,  21987,   3661,  70113,  70103
    23,  21937,  70066,  70050,  70067
    24,  70087,  21919,  21927,  21923
    25,  70062,  21985,  70063,  21984
    26,  21880,  70129,  70056,  21888
    27,  70109,  70089,  21982,  70073
    28,  21977,  21987,  70090,  21978
    29,  70072,  70081,  70075,  70074
    30,  21860,  21870,  70052,  70054
    31,  70066,  70057,  70081,  70067
    32,  21941,  21882,  21939,  70120
    33,  70093,  70090,  21876,  70068
    34,  70069,  70087,  70086,  21923
    35,  70141,  21890,  21892,   3666
    36,  21871,  70092,  70094,  21884
    37,  21922,  21921,  70058,   3671
    38,  70097,  21881,  21868,  70095
    39,  70058,  70104,  21901,   3671
    40,  70093,  70082,  70100,  70099
    41,  70093,  70082,  70099,  70054
    42,  70051,  21863,  21856,  21860
    43,  70062,  21973,  70061,  21983
    44,  70093,  70082,  70054,  70091
    45,   3666,  70131,  21924,   3667
    46,  21897,  70097,  21905,  21906
